subject,bone,iters,A_before,A_after,rmsd_ab,rmsd_ba,rmsd_2way,rmsd,d_mean,d_min,d_max,d_median,d_std,d_95,d_5
15283R,tpm,200,252.8166244046293,246.28127554675564,0.004411454649076263,0.00515139649163347,0.004795717773955751,0.004795717773955751,0.0031490068418739423,5.742844265965024e-07,0.040919744724365825,0.0019980171749108093,0.0036169966653656458,0.009914543579316946,0.0001695292730527716
15283R,tpm,400,252.8166244046293,243.14040964183798,0.00828515951193622,0.008977268663396586,0.008638148551426675,0.008638148551426675,0.005869281530066135,1.1259750876113002e-07,0.059600712671943876,0.0039136494886658725,0.006337913277833588,0.018198269268939127,0.0003079097343838177
15283R,tpm,800,252.8166244046293,239.1918053966454,0.015727559514203765,0.016274247879769103,0.016003238302371655,0.01600323830237166,0.011260854956102198,2.0801451168040155e-06,0.09445548374855144,0.007866255763558185,0.01137087427685857,0.034562078909360236,0.0007070834638518955
15283R,tpm,1600,252.8166244046293,234.40700075183253,0.030391347447671017,0.030641988902899514,0.030516925497258703,0.030516925497258703,0.022073285357433046,9.34763083904538e-06,0.1656092191884477,0.016278965695073633,0.021072560720865663,0.0662719653358927,0.0012288106883961783
15294R,tpm,25,203.5050655073766,202.1564575099946,0.0007870382937088586,0.001181649761098729,0.0010039236608599368,0.0010039236608599368,0.0006463011337622104,9.936071521022064e-08,0.009018141783005609,0.00041852276072815457,0.0007682171316314802,0.002056981124289569,3.664289669361897e-05
15294R,tpm,50,203.5050655073766,201.06610892312162,0.0014921301224442318,0.0021020453800074373,0.0018227790708031583,0.001822779070803158,0.0012026255386100933,1.7415220731510348e-07,0.015299440658845012,0.0007945114681025063,0.0013697501067131944,0.0037809981965432112,6.905520812253485e-05
15294R,tpm,100,203.5050655073766,199.35004461361024,0.0027599973857361953,0.003569643601908844,0.0031906066048574037,0.0031906066048574037,0.0021823750135375143,1.5343791406416243e-07,0.02580001595071425,0.0014943512699403792,0.0023274900230176756,0.006747099263291326,0.00013897815259058882
15294R,tpm,200,203.5050655073766,196.87447338150884,0.005037863080970657,0.005923534148837447,0.005498559867594902,0.005498559867594903,0.003932917697764334,5.081627625605519e-07,0.03985798761900864,0.002848109816569896,0.003842696839478411,0.011433860643900036,0.00029871787779057785
15294R,tpm,400,203.5050655073766,193.5303233671566,0.009219340699763637,0.00999312551031459,0.009614021021487796,0.009614021021487795,0.007147315426914878,1.2893458681912982e-06,0.05784997949291901,0.005543876760790673,0.006430029734751918,0.01972873234828205,0.0005256383467789604
15294R,tpm,800,203.5050655073766,189.28032577599691,0.016954940970783917,0.01745859666987408,0.017208611521620582,0.017208611521620582,0.013082920805287244,1.1789749197283664e-06,0.0905100699098273,0.010441872546213593,0.011179154427085924,0.033542869728297016,0.000909784007397609
15294R,tpm,1600,203.5050655073766,184.22637580258626,0.0315974519705002,0.03160673959140272,0.031602096122146796,0.031602096122146796,0.02430047531060585,7.81980716004944e-07,0.1542081077895379,0.01988309138241834,0.02020344968048875,0.06281164337053463,0.0016704482153284703
15441R,tpm,25,235.90849913501808,234.47094155375999,0.000574773083546377,0.0008326335746003423,0.0007154169298811547,0.0007154169298811547,0.0004437715005275922,4.256114430880115e-08,0.008662831034354695,0.0002814524012855169,0.0005611490344641665,0.001368849296794986,2.482027563770889e-05
15441R,tpm,50,235.90849913501808,233.29975167573508,0.0010903566991425349,0.0014888814152703837,0.0013049225264556024,0.0013049225264556024,0.0008250806665449773,1.0381383850778273e-07,0.01586968302148648,0.0005286355787590853,0.0010109721528039082,0.002549507510362886,4.52149502152115e-05
15441R,tpm,100,235.90849913501808,231.44013089565772,0.0020277715890407327,0.002562872103093243,0.0023108625050113174,0.0023108625050113174,0.001490874932912929,1.2825290460324387e-07,0.027742385994137964,0.0009491043294260495,0.0017656096543344597,0.004596436940404229,8.029197646130143e-05
15441R,tpm,200,235.90849913501808,228.73129246910702,0.0037661880686800926,0.004382371115146477,0.00408591171952714,0.00408591171952714,0.002675647303424788,5.69959911115696e-08,0.04638861411459026,0.001710962943901227,0.0030879744311514126,0.008414659643855342,0.00014392451005981958
15441R,tpm,400,235.90849913501808,225.05580045595542,0.007140157699344366,0.007769807039495715,0.007461626947338757,0.007461626947338757,0.004932920565859291,4.501812582020729e-07,0.07578793788112091,0.0032004241462805613,0.0055984079337052925,0.015158724926649051,0.00027488398814834425
15441R,tpm,800,235.90849913501808,220.38094486838264,0.013785695189808532,0.01439119943730947,0.0140916999171627,0.014091699917162701,0.009328056702957697,3.8105790483223737e-08,0.12415286085164409,0.006114826579133642,0.010562356020404218,0.028073186490637454,0.0005145056838636721
15441R,tpm,1600,235.90849913501808,214.80379908186174,0.026941419251907284,0.027557463647980993,0.027251182304781147,0.027251182304781147,0.018031292033036,2.1808218176098686e-06,0.20576878868727258,0.011886693393359297,0.020432803151496117,0.054650589915115115,0.0011016349256030202
15737R,tpm,25,225.97173130861327,224.2884088974966,0.0006213523265060672,0.000989726238430827,0.0008263282461264822,0.0008263282461264823,0.0005093382386296091,8.923022401894494e-08,0.010830469389677076,0.0003369887313427087,0.0006506865059428816,0.0014961729763676088,2.68564497041283e-05
15737R,tpm,50,225.97173130861327,222.9648638386206,0.0011726115658182447,0.001730694038261475,0.001478228625477894,0.0014782286254778941,0.0009452161218549047,1.5877579796321066e-07,0.01783125391914342,0.0006353163620084431,0.0011365413992318262,0.0027675922186531543,5.329886628386407e-05
15737R,tpm,100,225.97173130861327,220.93385130939734,0.002159830191224408,0.0028926834924830522,0.0025526931114617374,0.0025526931114617374,0.0017058709137760275,2.9999122004147254e-07,0.027066864207661915,0.001198212647822349,0.0018990119922836577,0.0048800069403666,0.00010416687073389822
15737R,tpm,200,225.97173130861327,218.08447281715883,0.0039521208936891365,0.004768006311623512,0.00437910628701884,0.00437910628701884,0.0030627356974118314,2.024327425972302e-08,0.03905910266703911,0.0022245851238485775,0.003129891678765767,0.008661909136815008,0.0001895848898422319
15737R,tpm,400,225.97173130861327,214.33383793909323,0.007307969414506331,0.0080747462170885,0.007700907200899939,0.007700907200899938,0.005618867572051563,6.181129682474643e-06,0.05656902409778877,0.004231173954203027,0.005266146496691855,0.015524705644724269,0.00043181016084217197
15737R,tpm,800,225.97173130861327,209.66330380698835,0.013572274204400969,0.014201964031204155,0.013890687697573949,0.013890687697573949,0.010418223525607843,8.36565178582784e-08,0.08463344043692506,0.008190413860215021,0.009187590722382205,0.02825114486380327,0.0008750830901034748
15737R,tpm,1600,225.97173130861327,204.23289898198897,0.02550782981741602,0.025946815197904635,0.02572825879173008,0.025728258791730085,0.019450055847139193,2.3859533446365307e-06,0.14096676796588115,0.015619063040767451,0.016841574391885186,0.051215211064988234,0.0016579509879356615
22306R,tpm,25,232.12092536138053,230.63141387007468,0.0006273913581842658,0.0008926015511223045,0.000771478271045349,0.000771478271045349,0.0004957175342573555,2.7226485743415606e-08,0.007231973531174904,0.000318175618805244,0.0005911369121658099,0.0015958403078338056,2.747468566772278e-05
22306R,tpm,50,232.12092536138053,229.44158720488605,0.0011913375716682713,0.0016077300492585399,0.0014149348255233032,0.0014149348255233032,0.0009258637255857888,3.4894375440496503e-07,0.012534995806705408,0.0005988670559185682,0.0010699611778578995,0.003022097920187336,5.62331374906413e-05
22306R,tpm,100,232.12092536138053,227.5987559680034,0.002215627428607006,0.0027795450257654328,0.0025134513574617927,0.0025134513574617923,0.0016843589823656562,2.3147626842695005e-07,0.020611377450233614,0.0011217704572349591,0.0018655756604465707,0.005489396206683131,0.0001080945619610721
22306R,tpm,200,232.12092536138053,225.01568441735918,0.004101292637760789,0.004734709247335804,0.004429338153570916,0.004429338153570916,0.0030416877162448186,1.054767302313359e-08,0.032770653492754945,0.002041184195265033,0.0032198093601212463,0.009621140265080052,0.00017251545431930715
