subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14685R,tpm,2.5,0.866929122448584,0.9330608540875729,0.9287000713571121,0.2735916091963928,0.19404450411114543,0.200265348629323,-6.910718987756806,-5.031009504251101,-3.132487650131854
14685R,tpm,2.6,0.8446420533494141,0.9266862717485508,0.9118042378014243,0.30700242284823875,0.21089569729895488,0.23131240577871334,-7.136745111966319,-5.173523483750203,-3.23027432374556
14685R,tpm,2.7,0.8270309955875009,0.9245454002108912,0.9055603934833805,0.33594981080386865,0.2218876435550057,0.24823747350489703,-7.368957135279321,-5.304952249303434,-3.3235672916786787
14685R,tpm,2.8000000000000003,0.814950389238245,0.9145991490056486,0.8990480512549475,0.3599093323786263,0.24450070694385795,0.26583145811121933,-7.607539859658149,-5.454955774689511,-3.4180001320803166
14685R,tpm,2.9000000000000004,0.8086832173022407,0.9193213042007724,0.8868029536642779,0.3785870525666072,0.24584911958947864,0.29121032584687767,-7.849805251969058,-5.549469680088284,-3.5166119389296115
14685R,mc1,0.5,0.8589884327009317,0.9825076563138692,0.9909898008316215,0.0641314071228455,0.022587460182857327,0.0162110294473969,-3.6865049695223253,-2.206387754750081,-1.9311701816019893
14685R,mc1,0.6000000000000001,0.872032318560406,0.9882207625133586,0.9934641959130478,0.07154514139746829,0.0217064391245011,0.01616886401322312,-4.1552049189435944,-2.254920176441889,-1.9747115402123214
14685R,mc1,0.7000000000000001,0.8805868259463674,0.97920717207599,0.9949306259324356,0.07917822704390215,0.033039725574079894,0.01631386338508229,-4.5963783926146675,-2.407488001069011,-2.0107530045197644
14685R,mc1,0.8,0.8820164710464595,0.977898425102939,0.9948119701955904,0.0886880408899794,0.03838539209739453,0.018597544290236502,-5.033311728930227,-2.527895744478848,-2.060930655737819
14685R,mc1,0.9,0.872314136148759,0.9785998867182322,0.9950108008879613,0.10263568467023244,0.04201796455976737,0.020288147444830894,-5.48890193891854,-2.6290741417697134,-2.102596997028439
14685R,mc1,1.0,0.8642266198752845,0.9723347569209173,0.9951709802057952,0.11652183491720139,0.05259775953316128,0.021975030817281735,-5.9437881471891085,-2.7637635583825095,-2.140481470127509
14685R,mc1,1.1,0.8868727735651313,0.9763606601394036,0.9953437921002707,0.11610768485973919,0.05307561901087685,0.02355556780716048,-6.229348992233302,-2.8323713945232436,-2.1745707345508256
14685R,mc1,1.2000000000000002,0.8668344840581904,0.9644744046880595,0.9945085139752403,0.13654000231380303,0.07052363677286963,0.027727387966888895,-6.669409285216431,-2.9784805922231863,-2.219349029238986
14685R,mc1,1.3,0.8799492967194126,0.9641343109901537,0.9932682835319879,0.1396718986879447,0.07634248138553099,0.03307421844960178,-7.00572035830607,-3.0878921012850173,-2.2680012893406416
14685R,mc1,1.4000000000000001,0.8742524602660285,0.9655224445093935,0.9910103500270827,0.1532085966376388,0.08022350253040904,0.04096422823567554,-7.411033662401659,-3.182615747878574,-2.3248968349821006
14685R,mc1,1.5,0.8790103989091606,0.9622024035273407,0.9918800042385422,0.16034428655802913,0.0896213660375697,0.0415391273296608,-7.773571887974098,-3.298603969668043,-2.3522584638259345
14685R,mc1,1.6,0.8912088100959192,0.9576992496489174,0.9902870045756965,0.16158553641022239,0.100758027393651,0.04828166216932527,-8.052170349696963,-3.4197514626705234,-2.402724171875028
14685R,mc1,1.7000000000000002,0.8932003992083676,0.9506001880754056,0.9817809003274939,0.16954908594980517,0.11531167638059611,0.07002838230686374,-8.391089592226507,-3.550460565503447,-2.4830573553513715
14685R,mc1,1.8,0.8971194264744268,0.9490629215087594,0.9806297716779943,0.17568201973358538,0.12361684168175562,0.0762303646626581,-8.70682210315965,-3.6644458227410768,-2.5392526143765752
14685R,mc1,1.9000000000000001,0.9110885838089319,0.9540571914428461,0.9753339983109391,0.17193907608083195,0.12359605109085753,0.0905618328083791,-8.593867037209394,-3.7306310196915757,-2.6128331977960912
14685R,mc1,2.0,0.9060036547299151,0.9406087212509711,0.9683506326686877,0.18564839508875683,0.14756965205616426,0.10772542885262175,-8.917550365553769,-3.869251454562655,-2.6927306859044005
14685R,mc1,2.1,0.9174567693290335,0.9467273468423225,0.9580816249381876,0.18227355909474022,0.14643170044756457,0.12989282490722762,-8.802172354817985,-3.9265744084420735,-2.7808576121165003
14685R,mc1,2.2,0.9256752829293372,0.9288315601186242,0.9495537532475561,0.1808393638318041,0.17695794287854216,0.14898439036045127,-8.947291642783604,-4.067057041676456,-2.8685661159658453
14685R,mc1,2.3000000000000003,0.9322783892979856,0.9348301727025565,0.9407527275829289,0.18013866453757807,0.17671222061124756,0.16849129957709977,-8.754387914248849,-4.137063932517718,-2.958450655836004
14685R,mc1,2.4000000000000004,0.9400010580851734,0.9304129426234262,0.93763188607282,0.17663365986048615,0.19022426195367,0.18008725452439264,-8.785816779413855,-4.2574788893627264,-3.039691139902708
14685R,mc1,2.5,0.946667531902582,0.9258524684902777,0.9256245559425029,0.17320367578315848,0.20422533259666523,0.20453896274876857,-8.784912584720729,-4.379148871545058,-3.134314817092706
