sub,bone,fel,b2b_rmsd,f2b_rmsd,f2f_rmsd,f2f_d_mean,f2f_d_median,f2f_d_std,f2f_d_max,f2f_d_99,f2f_d_95,b2b_d_mean,b2b_d_median,b2b_d_std,b2b_d_max,b2b_d_99,b2b_d_95,f2b_d_mean,f2b_d_median,f2b_d_std,f2b_d_max,f2b_d_99,f2b_d_95,field_points,field_cells,field_A,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
14548R,mc1,0.15,0.0010053548351716428,0.45873910377599675,0.0038012915688323103,0.0010415637418717317,0.00043140457404749983,0.0036558121618723467,0.1142880672529251,0.008369379356344197,0.0030129138032471293,0.000513793322918438,0.0001922314127425759,0.0008641497358255863,0.013017683723576107,0.004240428134012507,0.0021031024390290045,0.4480952327988204,0.44003199062932685,0.09824575144084183,0.7676846531101463,0.7161112502148216,0.6518346059055656,4539,8779,72.44755996300734,17124,34244,1539.6592503324684,3344.747019612042,18564,37124,1536.1034950301396,3339.727101176084
14548R,mc1,0.106,0.0006275333156861064,0.4574010753412735,,,,,,,,0.00029718247492645147,7.499559332999361e-05,0.0005527030295670428,0.010358940313158904,0.0027274642519775068,0.0013046531194314433,0.4468935765556753,0.43963031656224194,0.09747756129812675,0.7632409214277707,0.7127966482384237,0.646412986216386,10034,19627,72.40577108082405,17124,34244,1539.6592503324684,3344.747019612042,32293,64582,1536.1618804071402,3339.7783915498017
14613R,tpm,0.6,0.009232718897055413,0.42712230130494744,0.021776492345402364,0.008315950582476193,0.0038274544268576613,0.020126116982149875,0.40321447401127763,0.09231527099037048,0.025154113009430316,0.005738564367021125,0.0031203421011579665,0.007232701932030628,0.09620644478185013,0.03447607611472018,0.020406528318740937,0.39762956793446264,0.37560785887115067,0.15596213314868088,0.8876372294178158,0.8321743579046912,0.7452938999511122,758,1401,171.449845658126,9274,18544,1263.1316374840683,3168.61251314545,5043,10082,1257.9538188432703,3164.189190721955
14613R,tpm,0.424,0.004361430831070759,0.4247636999781682,0.014721645032794316,0.0044256162123773694,0.0017356787254352406,0.014040682092132852,0.4209774363938868,0.04408657755930438,0.014168949821644183,0.002349583946715938,0.0009940729123111636,0.0036744433825478015,0.05705638118870506,0.017675353386838864,0.009194919127816545,0.3950544617589145,0.376857920366192,0.1560646438611823,0.8901046725104913,0.8305376525747883,0.7358548715229246,1378,2601,171.73952329106316,9274,18544,1263.1316374840683,3168.61251314545,6636,13268,1258.8837620392392,3165.304836594025
14613R,tpm,0.3,0.002980988511516863,0.42284907293439034,0.009570749591538714,0.0028084692643299265,0.0011057099106213854,0.00914941244754288,0.31997170724788826,0.030326951831518602,0.008708290764677927,0.0017290631722362306,0.0008347251846427341,0.002428298386156838,0.0311585200751606,0.011926873327039358,0.006493318701252147,0.3926540001271797,0.37629025559966256,0.1569209185086491,0.8922179884499688,0.8333048000314659,0.7363032721069813,2961,5696,173.38977533030328,9274,18544,1263.1316374840683,3168.61251314545,9983,19962,1259.1733880994323,3165.675527277197
14613R,tpm,0.212,0.0015983301123388613,0.42585358880735885,0.004664532351732599,0.0014971141605874666,0.0005768416083824196,0.004417749568561864,0.17349271464730245,0.016165506921384888,0.004945076610766812,0.0008061632351787463,0.00032619353997397917,0.0013801304236394814,0.027115624519107488,0.00689310228393962,0.0032636602149667083,0.3957178056914838,0.37716252045324783,0.15734896681841976,0.8883697503951588,0.8341413780962454,0.7440262946100646,5305,10309,173.65969194635971,9274,18544,1263.1316374840683,3168.61251314545,15271,30538,1259.432320134709,3165.8556811231047
14613R,tpm,0.15,0.0011232734850985305,0.4242044158185748,0.0027855631162837183,0.0009552087078441279,0.0004110458712669954,0.0026166654733188596,0.12669042011076093,0.00884256895163957,0.003204067682611436,0.0005885395814675609,0.00026326331263177243,0.0009567468230265451,0.01669833020691602,0.004882320913154554,0.0023510140907213694,0.3940642260279745,0.37824114618932336,0.15704385427310347,0.8912190008332207,0.8296598895052727,0.7348789606146382,11607,22761,174.61011810412407,9274,18544,1263.1316374840683,3168.61251314545,27404,54804,1259.545267538345,3165.9485485862333
14613R,tpm,0.106,0.0006543867950466435,0.4271927689933354,,,,,,,,0.0003381098803249916,0.00018714259763791274,0.0005602711721640135,0.010037995958795823,0.002823934212510319,0.0012117365248688478,0.39677016838296114,0.38012375658475456,0.15832591500304036,0.8897165419152555,0.834811236967016,0.7411043102273354,21054,41491,174.82738527928473,9274,18544,1263.1316374840683,3168.61251314545,46474,92944,1259.6525719240349,3166.0055880350465
14613R,mc1,0.6,0.009998292853986908,0.40979150678086634,0.019857068958613555,0.00797928835290337,0.0038328312453489556,0.01818334801427819,0.4450307640008924,0.0785616707358933,0.024902996962010503,0.005976508148935629,0.0030576001586402456,0.008015435754829032,0.09838058130126673,0.03956971330481601,0.02228253705749037,0.3869946441860727,0.3800589962974601,0.1347747172173914,0.860154141190121,0.7728272161320042,0.6410437403307756,718,1325,162.4843247952427,19266,38528,2685.087777885872,7685.599072577767,10701,21398,2679.0139229507704,7677.665646235507
14613R,mc1,0.424,0.004488369125034514,0.407899178210083,0.013621277794216057,0.004238079282441068,0.0017615140312648746,0.01294518801497094,0.397463861203754,0.0535784025535264,0.012292443374824668,0.0024489059656349708,0.001098238310859279,0.003761424859549974,0.06557450623182137,0.017379640144996527,0.009538702307713198,0.38530695813000587,0.3806631842030218,0.13386667845682487,0.8481201067929006,0.7480235804163281,0.6281862257302702,1323,2490,162.3336710948865,19266,38528,2685.087777885872,7685.599072577767,12245,24486,2679.9400083909677,7679.046793432515
14613R,mc1,0.3,0.0031239207566188714,0.41268006316222006,0.006436801954423391,0.0023285621444095704,0.00105156172803664,0.0060008514179315815,0.1855650050356768,0.02174480864162032,0.007455919640191775,0.0017333131468837933,0.0007854074353790832,0.002598943329215553,0.046218719691390735,0.012516170561836308,0.006660568109440337,0.3893830467021537,0.3830982822805286,0.136695564933623,0.8616154495631455,0.76728315750487,0.6501956152909452,2770,5328,165.050055821875,19266,38528,2685.087777885872,7685.599072577767,15371,30738,2680.203446450635,7679.37935432879
14613R,mc1,0.212,0.0016822301264827896,0.4096241113635985,0.004392478005141995,0.0013100811716332253,0.0005246414018149691,0.004192558926167683,0.1509686576243645,0.012402251477127922,0.004198014737004322,0.0008794230641418436,0.000364532249655511,0.0014340548360162776,0.024027121158655358,0.007185718491823595,0.0035379021000502106,0.38646981641010736,0.3797889171520824,0.13576816126896507,0.8542543537929651,0.7565885315189347,0.6379471718093355,5141,9982,164.401162472063,19266,38528,2685.087777885872,7685.599072577767,20430,40856,2680.457024475243,7679.600902069688
14613R,mc1,0.15,0.001193743086722889,0.4110583557544089,0.0028833861104984367,0.0009658298604002004,0.00039126890651716007,0.0027168158095414994,0.08690169685376352,0.010347404156564172,0.003224427129550122,0.0006074753760682031,0.0002572071828679211,0.0010276167693111505,0.01719120633131954,0.0051354169594678735,0.0024779206779350516,0.387037695697864,0.38029514146155585,0.13845863622181828,0.8628253581467638,0.7780994251652898,0.6492641297750565,10818,21204,165.82107955441023,19266,38528,2685.087777885872,7685.599072577767,31679,63354,2680.561262740325,7679.685170100121
