sub,bone,iters,L_edge_mean,L_edge_median,L_edge_std,L_edge_max,L_edge_99,L_edge_95
14873R,tpm,40,0.18979676327698392,0.18988680838857525,0.020103115426390695,0.26370248387151324,0.23692235014723126,0.22333159203301325
14873R,tpm,80,0.19018688660610095,0.19016571720475112,0.01985897220501102,0.2639450700430023,0.23749416791483194,0.22376684289864196
14873R,mc1,1,0.18540642199701635,0.1846591454545438,0.02858590566103053,0.28675599383447314,0.252802393182956,0.23379061144490762
14873R,mc1,5,0.18635382064620826,0.18570271941516786,0.022545238168436642,0.2744503598103016,0.2400099991916478,0.22537468800678068
14873R,mc1,10,0.1863823352037416,0.18567175337136682,0.021676335835700243,0.27360921037128233,0.23897922381131895,0.22326464116612607
14873R,mc1,20,0.1863539654157036,0.18575790696496122,0.021159000993075515,0.26242332213429737,0.23802184761213568,0.22245448954599892
14873R,mc1,40,0.18643498168778336,0.18598790271097898,0.020796340338472576,0.26619353861429773,0.23743001072142408,0.22156342206881321
14873R,mc1,80,0.18687361311655923,0.18635852542398487,0.020569715202665914,0.26252237999835426,0.23756624338357996,0.221524265036593
15737R,tpm,1,0.18987829230586553,0.1907096877446165,0.027701382027868624,0.2826451662420648,0.2530710414020482,0.235732639157796
15737R,tpm,5,0.19026109882410647,0.19026005886680608,0.02207559948662611,0.2643353173527803,0.24144855701587684,0.22759817659986856
15737R,tpm,10,0.19016792724325213,0.19002599822103633,0.021218866623258073,0.2666516266591926,0.240465616962164,0.2259056440197986
15737R,tpm,20,0.19013648677011813,0.19006077971334973,0.020616034950488533,0.26406431034882744,0.24050437605155373,0.22483176373395286
15737R,tpm,40,0.19022715365258794,0.19018939244759492,0.020213616831776356,0.26392999071723716,0.23998546289401,0.22427612551317963
15737R,tpm,80,0.19067064609273632,0.1905053542554506,0.01988675846583106,0.2662068556592731,0.2392627008123048,0.22396653767916633
15737R,mc1,1,0.18925317262780786,0.18964605189411085,0.02740603685855522,0.28571377285666893,0.25384920227773117,0.23440556306648644
15737R,mc1,5,0.1897205038201351,0.18960250521645217,0.021887347406916953,0.26430088913963007,0.24120498740424165,0.22581537258924497
15737R,mc1,10,0.1897477017175477,0.18974983530953932,0.021111084895592987,0.2657844239228441,0.23963618940572615,0.22460750209944427
15737R,mc1,20,0.18971480186131068,0.189813079106797,0.020678409240077286,0.26607141898370285,0.23878125554500887,0.2237480725945317
15737R,mc1,40,0.18972438019426585,0.18985849994141227,0.020384994017949194,0.26611503151832533,0.23831316493765095,0.22308026130342576
15737R,mc1,80,0.1900616538041811,0.19024881077157607,0.020113489637311903,0.2629738390030476,0.23779592928473486,0.2229867304811012
14685R,tpm,1,0.17681273726018815,0.17461242796547594,0.026734935811129748,0.28771630124134445,0.24448002820440742,0.22247879223240305
14685R,tpm,5,0.17850980183580015,0.17736017027355067,0.0210293539169497,0.262527008134404,0.2288616855380122,0.21420416426655617
14685R,tpm,10,0.17880630979949755,0.17759921170995702,0.01978518564012828,0.26261110029851303,0.22708431216502536,0.21269674492800786
14685R,tpm,20,0.17893586768336095,0.17777921700806,0.01904783794766696,0.261452022367398,0.22651567299095166,0.21173891457757643
14685R,tpm,40,0.1790781429151592,0.1780812455032866,0.018670293988235977,0.2598846282487736,0.22659487451052263,0.21128738010435608
14685R,tpm,80,0.17958781574001179,0.17873393634113952,0.01851854049930815,0.2601564337086495,0.22717672368080985,0.2115399962142135
14685R,mc1,1,0.1805889033759841,0.17880767594765334,0.02760538181372092,0.29431299665492255,0.24875895849697555,0.22879551384196956
14685R,mc1,5,0.18186139106895755,0.18062476296707772,0.021542298147490813,0.25943594585176183,0.23425961229604006,0.2192667690279151
14685R,mc1,10,0.18190921970822743,0.18079777376924758,0.020637016250574278,0.26318618884736733,0.23268994338475907,0.21761441572191648
14685R,mc1,20,0.1818903240012289,0.18082792925873342,0.020177332369777742,0.26262629342850574,0.23182825793658562,0.21663322444735275
14685R,mc1,40,0.1819952786530618,0.18104637527441172,0.019843832340846274,0.26254786230323757,0.23179275050401157,0.21590785994568043
14685R,mc1,80,0.1824402515781651,0.1815615047304956,0.019704917849588197,0.26274706468388864,0.23212483173519166,0.21611086506620167
50045R,tpm,1,0.17901834271522188,0.17719461052752256,0.026197303044990943,0.2841210481467423,0.24370089146075194,0.22520444930146766
50045R,tpm,5,0.18046889600206845,0.17942421798632135,0.021034112528837204,0.26026296317378345,0.2310402907408353,0.21748409137097177
50045R,tpm,10,0.18071066107558487,0.17972631970825478,0.02009436028146249,0.2565347929618907,0.23012808298398915,0.2160988672838213
50045R,tpm,20,0.18089877017521985,0.17983096229481615,0.019419853431305322,0.25569391858235463,0.22924060891541795,0.2151541366046747
50045R,tpm,40,0.18108964016941045,0.17999236094901966,0.019023851977858195,0.25777412593197135,0.2286711589389629,0.21432836895968418
50045R,tpm,80,0.18164036286569382,0.18057765642514545,0.018863355299376612,0.25734756653211566,0.2291539438892547,0.21446892548804078
50045R,mc1,1,0.18126713733440164,0.17945263999172317,0.026620294148345075,0.29306709129481645,0.24590030220419246,0.22800635077716597
50045R,mc1,5,0.1821860460501613,0.18081305262619232,0.02118331022657565,0.2547395728974937,0.2338140222032145,0.21946077096966812
50045R,mc1,10,0.18220335279030156,0.18092177867797782,0.02033834430643434,0.25366726237336384,0.23169505787452113,0.2180709700092699
50045R,mc1,20,0.18218011589575897,0.1811469155133449,0.019796007233954936,0.25320458131715334,0.23052444587263463,0.21689421384319993
50045R,mc1,40,0.1822703432071668,0.181375742589797,0.019431620137438828,0.2536474718975077,0.22991718288840976,0.21615551105486042
50045R,mc1,80,0.18277387247298302,0.18203771587229295,0.019218148061809572,0.2527172728564408,0.23028758715892683,0.21612714776170278
50006R,tpm,1,0.1809093240901675,0.17900773726294766,0.026126395393925847,0.2997044544213539,0.24395124890156583,0.22593133889427958
50006R,tpm,5,0.18161429840922652,0.18032764624419417,0.021375823874111993,0.2612132462184866,0.23132174319648935,0.21908885753796334
50006R,tpm,10,0.18166733383709155,0.18047900151648716,0.020518620249828985,0.2609940420776021,0.23010201994446552,0.21778570305891942
50006R,tpm,20,0.18167959116174268,0.180745885153695,0.019954421124874094,0.26034600054542234,0.22983173073541494,0.2164710083882254
50006R,tpm,40,0.18181900927007838,0.18096090738056492,0.019518022530895667,0.26478765076945415,0.2288946978586502,0.21594692844762636
50006R,tpm,80,0.18240196057590333,0.18165608990410598,0.01919973230298108,0.2602502833812146,0.22904915807260806,0.21590190364322623
50006R,mc1,1,0.18156119824278616,0.18013952925440307,0.026447130706949196,0.2780465608490742,0.246977624447312,0.22826556025334457
50006R,mc1,5,0.18243540316866386,0.18169969730298927,0.021211205691753863,0.26483294734605806,0.23295557776997514,0.21967373532387166
50006R,mc1,10,0.18244872897282174,0.1817939492942567,0.020367847464640928,0.2631677221849235,0.23150322357181957,0.21818541426199323
50006R,mc1,20,0.18240748796337236,0.18164536878214135,0.019959174465957148,0.2617408833178466,0.23057283230915232,0.21708897832124696
50006R,mc1,40,0.18242135881758595,0.1817221780528952,0.019678435670268318,0.26285045177819305,0.230311972028525,0.21645678997922504
50006R,mc1,80,0.18288906607065838,0.18224006145740293,0.019592537068555488,0.2662175989674624,0.23028171862828095,0.21684715803473106
50029R,tpm,1,0.18084421074123347,0.17923094037645015,0.026466731150982917,0.2943420459261595,0.24698429099769822,0.22663419865211548
50029R,tpm,5,0.18177625037427086,0.1807034310687033,0.02097947870250071,0.25605977817689346,0.23199083331494175,0.21819462871041478
50029R,tpm,10,0.18177588691451338,0.18085842529447665,0.0202134493140981,0.2579898447613763,0.23068321469438527,0.21661634287375384
50029R,tpm,20,0.18179201291791622,0.18108593263790237,0.019663962891951936,0.2580337962360703,0.22939631484922515,0.21552015783281106
50029R,tpm,40,0.18195280874691921,0.18123810305782984,0.019267237097853128,0.260850455242095,0.22858909422246684,0.21477308956197091
50029R,tpm,80,0.18259354878188067,0.18202486093937792,0.019031562438485982,0.2553125339657295,0.22905061919148262,0.21506118662435889
50029R,mc1,1,0.17995937724275193,0.17805897899203457,0.02670350784243663,0.2999594639280504,0.24675173024436023,0.22717087820227477
50029R,mc1,5,0.18113409951885523,0.17992470647466938,0.02109764163122856,0.2542759131337496,0.2328991037060251,0.21818115636999671
50029R,mc1,10,0.18123771841686737,0.18020069367236746,0.020252560817192927,0.257262200876838,0.23096568961862232,0.21662665578047202
50029R,mc1,20,0.18124391441085366,0.1802723633836926,0.019778421613012433,0.2585471136949782,0.2296841610791365,0.21577720452412372
50029R,mc1,40,0.1813738406772776,0.180372503447714,0.01946456807815853,0.26111118321512816,0.22917341041196082,0.2154328851321256
50029R,mc1,80,0.18187029263977364,0.18098842504341378,0.01926307300501248,0.262859449135852,0.22953326411072847,0.21556531257132133
50020R,tpm,1,0.17997634125271267,0.17815765488804305,0.026082653302147246,0.2868663103259144,0.2441811328972539,0.2251790572276376
50020R,tpm,5,0.18133612178557243,0.18022333367241058,0.020801939966800777,0.25842169026612233,0.2318862227593853,0.21773222543627285
50020R,tpm,10,0.18140111559624256,0.18031107841669824,0.01998132135802886,0.2563089737016533,0.2298304523723751,0.2161507401564374
50020R,tpm,20,0.18148273979430476,0.18058738881766725,0.019454391107444183,0.2537466650027119,0.229381640406915,0.21524517987711175
50020R,tpm,40,0.18165724111977674,0.18075423923077785,0.019168056499490015,0.25562769802976065,0.22887161329854575,0.21492570691635937
50020R,tpm,80,0.18220950878875355,0.1813461882698523,0.019063915242933657,0.2551114266355011,0.229891681776883,0.21528526424226596
50020R,mc1,1,0.18144686883683986,0.1796606523338484,0.026787114298735478,0.30108669847735786,0.24851464427555003,0.2281251191675238
50020R,mc1,5,0.18216129568555212,0.18127717727253778,0.021167452064927567,0.2601664275036255,0.23317181324903577,0.21890941619509824
50020R,mc1,10,0.1821992438205719,0.18146129063796793,0.020330639657822218,0.2653541407251723,0.2310159191368044,0.21732333031751427
