sub,bone,iters,rmsd,d_mean,d_95,d_max
50021R,tpm,8,0.004784058657320078,0.002107601558493909,0.009158906700354354,0.18674804336240242
50021R,tpm,16,0.004736922551879701,0.0020938800324370762,0.009093807741085666,0.16855462753164718
50021R,tpm,32,0.004603059487856777,0.0020917956035869565,0.009144949977905336,0.10872768936477062
50021R,tpm,64,0.0039971934160838085,0.0018566537759169856,0.00839989445228743,0.07833150109404183
50021R,mc1,1,0.004529770604770252,0.002098643853616302,0.008199560986938156,0.38759108729398317
50021R,mc1,2,0.003810290301232384,0.0019688187434641364,0.007641523218781986,0.08849603715957378
50021R,mc1,4,0.003580895637071274,0.0018568434929912396,0.007092536174691754,0.1055047887945946
50021R,mc1,8,0.003386778934824035,0.001755191877184206,0.006648114594211687,0.13508196089086855
50021R,mc1,16,0.0031982836977509014,0.0016439451158701854,0.0062486288719166075,0.17862096668462232
50021R,mc1,32,0.0030350618461940887,0.0015044891243145132,0.005806554901640712,0.22995791038000665
50021R,mc1,64,0.002448707931397876,0.0012087653009166008,0.00489214643847702,0.15864848668726944
50027L,tpm,1,0.005223556916311125,0.0024145819114882003,0.010423708380334736,0.1532953935736814
50027L,tpm,2,0.0052079039376654295,0.00239903680264378,0.010204935130305279,0.14911998113510547
50027L,tpm,4,0.005141303597704812,0.002379418437756147,0.00999151212881357,0.1411720544104916
50027L,tpm,8,0.005089465532625001,0.0023594993683329936,0.009883787881350862,0.13366419700892707
50027L,tpm,16,0.005054790736576978,0.002359101807264414,0.009932377702520789,0.13095124972861202
50027L,tpm,32,0.005008735809226442,0.002362118000123925,0.0100382562412601,0.14796143792789807
50027L,tpm,64,0.004426769081257842,0.002097208850225589,0.008957995836442724,0.1719226568141682
50027L,mc1,1,0.004810485719833734,0.002445733363020276,0.009668495148194985,0.08590642094333888
50027L,mc1,2,0.004552876577846376,0.002335432663889198,0.009236342948827046,0.08286824932315853
50027L,mc1,4,0.004250160969935027,0.0022155948723683533,0.008618035790741368,0.08255320017601722
50027L,mc1,8,0.003968088729626899,0.002098854323444105,0.008036192425713445,0.07907830048944255
50027L,mc1,16,0.0036325833644077314,0.001955930794139063,0.007511203126079112,0.07405015350604707
50027L,mc1,32,0.0032018892629392167,0.0017582640093061453,0.006717919758592352,0.056128261529590225
50027L,mc1,64,0.0025390916754897946,0.0013713037581069812,0.0054166176088640055,0.03514167974957712
50008L,tpm,1,0.006363736016336129,0.0028037767990380397,0.012240442344655121,0.21013457020455412
50008L,tpm,2,0.006194461300041319,0.002760939891194698,0.01185874428765476,0.1899219572644142
50008L,tpm,4,0.006027045154091767,0.0027146372582845606,0.011541414202331674,0.17210091731608737
50008L,tpm,8,0.005925951942950272,0.002684661825303737,0.011307216099003137,0.15947934597520722
50008L,tpm,16,0.005754091080622049,0.0026499209523191854,0.01108257452497511,0.1537632791686628
50008L,tpm,32,0.005462991798554702,0.0025955840143956784,0.010816733768997434,0.13711824504705072
50008L,tpm,64,0.004527288982604398,0.002243524769690077,0.009540621482298187,0.09219836011185825
50008L,mc1,1,0.004941826082062682,0.002562538613461475,0.009868446594383315,0.08821604070302104
50008L,mc1,2,0.004758595919337469,0.0024598975748270596,0.009236175954075845,0.08703050549188948
50008L,mc1,4,0.004514972929804295,0.002369141101691049,0.008741186990731967,0.08609591191716659
50008L,mc1,8,0.004290980392103255,0.002276435810152528,0.008388058740859518,0.08441986470460225
50008L,mc1,16,0.0040079906354448525,0.0021570350576982427,0.007961830449324388,0.0821024834755174
50008L,mc1,32,0.003625227797954101,0.001988030539224193,0.007418788285455999,0.07318730230271048
50008L,mc1,64,0.0029572461911135245,0.001577102842643839,0.0060193121201814,0.05084193230919977
15358R,tpm,1,0.004903699326000166,0.0022139240345136124,0.009207228845340377,0.07300739694903052
15358R,tpm,2,0.004835055110729454,0.0021863995096451797,0.00906708114323878,0.06993259494183657
15358R,tpm,4,0.004774364366102065,0.00217290445446168,0.008906123516292238,0.06615554541186724
15358R,tpm,8,0.004698121884760168,0.0021505895738922628,0.008861573616271863,0.07058599143005724
15358R,tpm,16,0.004586507188899234,0.002114452951062756,0.008669820264804251,0.06791819123417257
15358R,tpm,32,0.004376374266092469,0.002047936786660749,0.008506298895998438,0.06372751075709035
15358R,tpm,64,0.003633642624204884,0.0017354006470233561,0.007505285079244842,0.044820248798180244
15358R,mc1,1,0.0047314821436421715,0.0023683423856921057,0.009981375746595017,0.08360944138608706
15358R,mc1,2,0.00459385413436883,0.002300148312736392,0.009663420365213001,0.09052001077181152
